Date,Team,Acquired,Relinquished,Notes
2001-06-26,76ers,. 2001 second round pick (#36-Damone Brown),. cash,trade with Clippers
2001-06-27,76ers,. Samuel Dalembert,,2001 NBA draft first round pick (#26 overall)
2001-06-27,76ers,. Alvin Jones,,2001 NBA draft second round pick (#57 overall)
2001-06-27,76ers,. Damone Brown,,2001 NBA draft second round pick (#37 overall)
2001-07-03,76ers,. Tyrone Hill,,"player exercised contract option, for $6.6M per year, through 2002-03"
2001-07-18,76ers,. Aaron McKie,,"re-signed free agent to a 7-year, $42M contract ($35.5M guaranteed)"
2001-07-19,76ers,. Dikembe Mutombo,,"re-signed free agent to a 4-year, $65M contract"
2001-07-19,76ers,,. Todd MacCulloch,lost restricted free agent (declined to match Nets offer sheet)
2001-07-25,76ers,,. Pat Croce,resigned as president to serve as advisor
2001-07-25,76ers,. Larry Brown,,announced he will return as head coach
2001-08-03,76ers,. Jerome Moiso,. Roshown McLeod. first round pick (lottery protected 2003-07) (2003 #20-Dahntay Jones),trade with Celtics
2001-08-03,76ers,. Matt Harpring. Robert Traylor / Tractor Traylor. Cedric Henderson (E.),. Tyrone Hill. Jumaine Jones,trade with Cavaliers
2006-09-26,76ers,. Rick Brunson,,signed unrestricted free agent (from Rockets) to a non-guaranteed contract
2006-09-28,76ers,. Jim Lynam,,hired as assistant coach
2006-09-28,76ers,. Moses Malone,,hired as assistant coach
2006-09-29,76ers,. Andre Iguodala,,team exercised contract option through 2007-08
2006-10-02,76ers,,. Matt Barnes,lost unrestricted free agent (to Warriors)
2006-10-25,76ers,,. Rick Brunson,waived
2006-12-19,76ers,". Andre Miller. Joe Smith (Leynard). 2007 first round pick (protected top 1 in 2007) (#21-Daequan Cook). first round pick (protected top 7 in 2007, top 5 in 2008) (2007 #30-Petteri Koponen)",. Allen Iverson. Ivan McFarlin,trade with Nuggets
2007-01-04,76ers,,. Steven Smith,waived
2007-01-06,76ers,. Larry Brown,,hired as executive VP of basketball operations
2007-01-10,76ers,,. Chris Webber,waived (team bought out contract)
2007-02-22,76ers,. 76ers right to swap 2007 second round picks (not exercised). cash,. Alan Henderson. 76ers right to swap second round picks (not exercised),trade with Jazz
2007-03-08,76ers,. Louis Amundson / Lou Amundson,,signed free agent to a 10-day contract
2007-03-18,76ers,. Louis Amundson / Lou Amundson,,re-signed to a second 10-day contract
2007-03-27,76ers,. Louis Amundson / Lou Amundson,,re-signed for the remainder of the season
2007-04-03,76ers,. Alan Henderson,,signed free agent for the remainder of the season
2007-06-22,76ers,. Shavlik Randolph,,player exercised contract option for 2007-08
2007-06-28,76ers,. Daequan Cook,,2007 NBA draft first round pick (#21 overall)
2007-06-28,76ers,. Petteri Koponen,,2007 NBA draft first round pick (#30 overall)
2007-06-28,76ers,. Thaddeus Young,,2007 NBA draft first round pick (#12 overall)
2007-06-28,76ers,. Kyrylo Fesenko,,2007 NBA draft second round pick (#38 overall)
2007-06-28,76ers,. rights to Derrick Byars. cash,. rights to Petteri Koponen,trade with Blazers
2007-06-28,76ers,. rights to Herbert Hill. future draft considerations (?),. rights to Kyrylo Fesenko,trade with Jazz
2007-06-28,76ers,. rights to Jason Smith,. rights to Daequan Cook. 2009 second round pick (#45-Nick Calathes). cash,trade with Heat
2007-06-30,76ers,. Louis Williams / Lou Williams,,team exercised contract option for 2007-08
2007-07-11,76ers,. Jason Smith,,"signed first round pick to a 2-year, $2.6M contract with a 2-year, $3.6M team option"
2007-07-11,76ers,. Thaddeus Young,,"signed first round pick to a 2-year, $3.8M contract with a 2-year, $5M team option"
2007-07-17,76ers,,. Joe Smith (Leynard),lost unrestricted free agent (to Bulls)
2007-09-10,76ers,. Reggie Evans. rights to Ricky Sanchez,. Steven Hunter. Bobby Jones (Ray),trade with Nuggets
2007-09-11,76ers,. Derrick Byars,,signed second round pick
2007-09-11,76ers,. Herbert Hill,,signed second round pick
2007-09-11,76ers,. Calvin Booth,,signed unrestricted free agent (from Wizards) to a 2-year minimum contract (second year is player option)
2007-10-02,76ers,. Shagari Alleyne,,signed free agent
2007-10-03,76ers,. Aaron McKie,,hired as assistant coach
2007-10-09,76ers,,. Shagari Alleyne,waived
2007-10-22,76ers,,. Derrick Byars,waived
2007-10-29,76ers,,. Ricky Sanchez,waived
2007-10-30,76ers,. Rodney Carney,,team exercised contract option through 2008-09
2007-12-04,76ers,,. Billy King,fired as president & GM
2007-12-04,76ers,. Ed Stefanski,,hired as general manager
2007-12-29,76ers,". Gordan Giricek. 2009 first round pick (less favorable of Jazz, Knicks picks) (protected top 22 in 2009, top 15 in 2010, top 17 in 2011, top 16 in 2012, top 16 in 2013, else 2014 second round pick, $1.15M cash) (2010 #23-Trevor Booker)",. Kyle Korver,trade with Jazz
2008-02-01,76ers,,. Aaron McKie,resigned as assistant coach
2008-02-20,76ers,. Maurice Cheeks,,re-signed as head coach to a 1-year contract extension through 2008-09
2008-02-29,76ers,,. Gordan Giricek,waived
2008-04-24,76ers,,. Larry Brown,resigned as executive VP of basketball operations
2008-06-06,76ers,. Calvin Booth,,player exercised contract option for 2008-09
2008-06-09,76ers,. Courtney Witte,,re-signed as director of player personnel to a contract extension
2008-06-09,76ers,. Tony DiLeo,,re-signed as senior VP and assistant GM to a contract extension
2008-06-25,76ers,. Andre Iguodala,,"team tendered qualifying offer, making player a restricted free agent"
2008-06-25,76ers,. Louis Williams / Lou Williams,,"team tendered qualifying offer, making player a restricted free agent"
2008-06-26,76ers,. Marreese Speights,,2008 NBA draft first round pick (#16 overall)
2008-07-01,76ers,,. Louis Amundson / Lou Amundson,player became a free agent
2008-07-01,76ers,. John Nash,,hired as pro personnel scout
2008-07-09,76ers,". 2010 second round pick (protected top 55 in 2010, extinguished thereafter) (not exercised)",". Rodney Carney. Calvin Booth. first round pick (protected top 22 in 2009, top 17 in 2010, top 15 in 2011, top 16 in 2012, top 16 in 2013) (2010 #23-Trevor Booker). cash considerations",trade with Timberwolves
2008-07-09,76ers,. Elton Brand,,"signed unrestricted free agent to a 5-year, $79.8M contract"
2008-07-18,76ers,. Marreese Speights,,"signed first round pick to a 2-year, $3.2M contract with a 2-year, $4.5M team option"
2008-07-28,76ers,. Royal Ivey,,"signed unrestricted free agent (from Bucks) to a 2-year, minimum contract"
2008-07-29,76ers,. Kareem Rush,,"signed unrestricted free agent (from Pacers) to a 1-year, minimum contract"
2008-07-31,76ers,. Louis Williams / Lou Williams,,"re-signed restricted free agent to a 5-year, $26M contract (date 08-04 per NBA P)"
2008-08-17,76ers,. Andre Iguodala,,"re-signed restricted free agent to a 6-year, $80M contract"
2008-08-20,76ers,. Theo Ratliff,,"signed unrestricted free agent (from Pistons) to a 1-year, minimum contract"
2008-09-02,76ers,. Donyell Marshall,,signed free agent to a 1-year contract
2008-09-09,76ers,. Maurice Cheeks,,re-signed as head coach to a 1-year contract extension through 2010
2008-09-25,76ers,. Andre Emmett,,signed free agent
2008-09-25,76ers,. Antywane Robinson,,signed free agent
2008-09-25,76ers,. Jared Reiner,,signed free agent
2008-09-25,76ers,. Justin Reed,,signed free agent
2008-09-25,76ers,Maureece Rice,,signed free agent
2008-09-25,76ers,,. Shavlik Randolph,lost restricted free agent (to Blazers)
2008-09-29,76ers,,. Justin Reed,waived
2008-09-29,76ers,. Cory Underwood,,signed free agent
2008-09-30,76ers,. Aaron McKie,,hired as assistant coach
2008-09-30,76ers,,. Kevin Ollie,lost unrestricted free agent (to Timberwolves)
2008-10-06,76ers,,. Andre Emmett,waived
2008-10-06,76ers,,. Cory Underwood,waived
2008-10-06,76ers,,Maureece Rice,waived
2008-10-13,76ers,. Jason Smith,,team exercised $3.6M contract option through 2009-10
2008-10-13,76ers,. Thaddeus Young,,team exercised $5M contract option through 2009-10
2008-10-20,76ers,,. Antywane Robinson,waived
2008-10-23,76ers,,. Jared Reiner,waived
2008-12-13,76ers,,. Maurice Cheeks,fired as head coach
2008-12-13,76ers,. Tony DiLeo,,hired as interim head coach for the remainder of the season (in addition to senior VP and assistant GM)
2009-05-11,76ers,,. Tony DiLeo,resigned as interim head coach (remained as senior VP and assistant GM)
2009-06-01,76ers,. Ed Jordan / Eddie Jordan,,"hired as head coach, signed to a 3-year contract"
2009-06-09,76ers,. Jason Kapono,. Reggie Evans,trade with Raptors
2009-06-15,76ers,,. Royal Ivey,"player declined to exercise contract option, making him an unrestricted free agent"
2009-06-25,76ers,. Jrue Holiday,,2009 NBA draft first round pick (#17 overall)
2009-07-01,76ers,,. Andre Miller,player became an unrestricted free agent
2009-07-01,76ers,,. Donyell Marshall,player became an unrestricted free agent
2009-07-01,76ers,,. Kareem Rush,player became an unrestricted free agent
2009-07-01,76ers,,. Theo Ratliff,player became an unrestricted free agent
2009-07-01,76ers,. Aaron McKie,,re-signed as assistant coach
2009-07-01,76ers,. Jim Lynam,,re-signed as assistant coach
2009-07-01,76ers,. Mike O'Koren,,hired as associate head coach
2009-07-21,76ers,. Jrue Holiday,,"signed first round pick to a 2-year, $3.1M contract with a 2-year, $4.4M team option"
2009-08-04,76ers,. Randy Ayers,,hired as assistant coach
2009-08-05,76ers,. Primoz Brezec,,"signed unrestricted free agent to a 1-year, minimum contract"
2009-08-09,76ers,. Royal Ivey,,"re-signed unrestricted free agent to a 1-year, minimum contract"
2009-09-14,76ers,. Rodney Carney,,signed unrestricted free agent to a 1-year minimum contract
2009-09-17,76ers,. Sean Singletary,,signed unrestricted free agent to a non-guaranteed contract
2009-09-26,76ers,. Brandon Bowman,,signed free agent to a non-guaranteed contract
2009-09-26,76ers,. Dionte Christmas,,signed free agent to a non-guaranteed contract
2009-09-28,76ers,. Stromile Swift,,signed unrestricted free agent
2009-09-30,76ers,. Rashad Jones-Jennings,,signed free agent
2009-10-05,76ers,,. Rashad Jones-Jennings,waived
2009-10-12,76ers,,. Sean Singletary,waived
2009-10-12,76ers,,. Stromile Swift,waived
2009-10-21,76ers,,. Brandon Bowman,waived
2009-10-21,76ers,,. Dionte Christmas,waived
2009-10-22,76ers,. Jason Smith,,team exercised contract option through 2010-11
2009-10-22,76ers,. Marreese Speights,,team exercised contact option through 2010-11
2009-10-22,76ers,. Thaddeus Young,,team exercised contract option through 2010-11
2009-12-02,76ers,. Allen Iverson,,unretired
2009-12-02,76ers,. Allen Iverson,,signed free agent to a 1-year minimum contract
2010-02-18,76ers,. Francisco Elson. Jodie Meeks,. Primoz Brezec. Royal Ivey. 2010 second round pick (#37-Darington Hobson),trade with Bucks
2010-04-15,76ers,,. Ed Jordan / Eddie Jordan,fired as head coach
2010-05-21,76ers,. Doug Collins,,"hired as head coach, signed to a 4-year contract"
2010-06-17,76ers,. Andres Nocioni. Spencer Hawes,. Samuel Dalembert,trade with Kings
2010-06-24,76ers,. Evan Turner,,2010 NBA draft first round pick (#2 overall)
2010-07-01,76ers,,. Allen Iverson,player became an unrestricted free agent
2010-07-01,76ers,,. Francisco Elson,player became an unrestricted free agent
2010-07-01,76ers,,. Rodney Carney,player became an unrestricted free agent
2010-07-01,76ers,. Brian James,,hired as assistant coach
2010-07-01,76ers,. Michael Curry,,hired as associate head coach
2010-07-01,76ers,. Quin Snyder,,hired as assistant coach
2010-07-14,76ers,. Evan Turner,,"signed first round pick to a 2-year, $9.6M contract with a 2-year, $12M team option"
2010-07-21,76ers,. Tony Battie,,signed unrestricted free agent to a 1-year minimum contract
2010-08-12,76ers,. Rod Thorn,,hired as president
2010-09-23,76ers,. Craig Brackins. Darius Songaila. 2011 second round pick (#50-Lavoy Allen),. Willie Green. Jason Smith. 2011 second round pick (#45-Josh Harrellson),trade with Hornets
2010-09-26,76ers,. Chris Quinn,,signed unrestricted free agent to a non-guaranteed contract
2010-09-27,76ers,. James Florence,,signed free agent to a non-guaranteed contract
2010-09-27,76ers,. Trent Plaisted,,signed free agent to a non-guaranteed contract
2010-10-08,76ers,,. James Florence,waived
2010-10-21,76ers,,. Chris Quinn,waived
2010-10-21,76ers,,. Trent Plaisted,waived
2010-10-21,76ers,. Jrue Holiday,,team exercised contract option through 2011-12
2010-10-21,76ers,. Marreese Speights,,team exercised contract option through 2011-12
2011-04-05,76ers,. Antonio Daniels,,signed free agent to a 10-day contract
2011-04-14,76ers,,. Antonio Daniels,contract expired
2011-06-22,76ers,. Spencer Hawes,,"team tendered qualifying offer, making player a restricted free agent"
2011-06-22,76ers,. Thaddeus Young,,"team tendered qualifying offer, making player a restricted free agent"
2011-06-23,76ers,. Nikola Vucevic,,2011 NBA draft first round pick (#16 overall)
2011-06-23,76ers,. Lavoy Allen,,2011 NBA draft second round pick (#50 overall)
2011-07-01,76ers,,. Darius Songaila,player became an unrestricted free agent
2011-07-01,76ers,,. Jason Kapono,player became an unrestricted free agent
2011-07-01,76ers,,. Tony Battie,player became an unrestricted free agent
2011-07-13,76ers,. group headed by Joshua Harris,. Comcast-Spectacor,transfer of ownership (pending approval of NBA Board of Governors)
2011-08-22,76ers,,. Nikola Vucevic,signed with Buducnost (Montenegro)
2011-08-25,76ers,,. Craig Brackins,signed with Maccabi Ashdod (Israel)
2011-10-18,76ers,,. Ed Stefanski,fired as general manager
2011-10-18,76ers,. group headed by Joshua Harris,. Comcast-Spectacor,transfer of ownership for a reported $280M approved by NBA Board of Governors
2011-11-15,76ers,,. Andres Nocioni,signed with with Penarol (Argentina)
2011-11-15,76ers,. Jeff Capel,,hired as assistant coach
2011-11-19,76ers,,. Craig Brackins,released from contract with the Maccabi Ashdod (Israel)
2011-12-09,76ers,. Antonio Andersen,,signed free agent
2011-12-09,76ers,. Antonio Anderson,,signed free agent
2011-12-09,76ers,. Dwayne Jones,,signed free agent
2011-12-09,76ers,. Lavoy Allen,,signed second round pick
2011-12-09,76ers,. Mike Tisdale,,signed free agent
2011-12-09,76ers,. Nikola Vucevic,,"signed first round pick to a 2-year, $3.4M contract with a 2-year, $4.8M team option"
2011-12-09,76ers,. Thaddeus Young,,"re-signed restricted free agent to a 5-year, $43M contract"
2011-12-09,76ers,. Tony Battie,,re-signed unrestricted free agent to a 1-year contract
2011-12-09,76ers,. Xavier Silas,,signed free agent
2011-12-09,76ers,Xavier Salas,,signed free agent
2011-12-10,76ers,. Spencer Hawes,,"re-signed restricted free agent to a 1-year, $4.6M qualifying offer"
2011-12-20,76ers,,. Antonio Anderson,waived
2011-12-20,76ers,,. Dwayne Jones,waived
2011-12-20,76ers,,. Mike Tisdale,waived
2011-12-20,76ers,,. Xavier Silas,waived
2012-01-04,76ers,. 2012 conditional second round pick (from Grizzlies) (if pick is between #31-#55) (#54-Tornike Shengelia). 2013 second round pick (from Hornets/Pelicans) (#35-Glen Rice Jr.),. Marreese Speights,"3-team trade with Grizzlines, Hornets"
2012-01-27,76ers,. Francisco Elson,,signed free agent to a 10-day contract
2012-02-08,76ers,,. Francisco Elson,waived
2012-02-21,76ers,. Francisco Elson,,signed free agent to a second 10-day contract
2012-03-01,76ers,,. Francisco Elson,waived
2012-03-15,76ers,. Sam Young,. rights to Ricky Sanchez,trade with Grizzlies
2012-03-20,76ers,,. Andres Nocioni,waived
2012-04-24,76ers,. Xavier Silas,,signed free agent for the remainder of the season
2012-05-04,76ers,. Julius Erving,,hired as strategic adviser to the CEO and ownership group
2012-06-17,76ers,,. Louis Williams / Lou Williams,"player declined to exercise contract option for 2012-13, making him an unrestricted free agent"
2012-06-26,76ers,. Lavoy Allen,,"team tendered qualifying offer, making player a restricted free agent"
2012-06-28,76ers,. Maurice Harkless / Moe Harkless,,2012 NBA draft first round pick (#15 overall)
2012-06-28,76ers,. Justin Hamilton (b),,2012 NBA draft second round pick (#45 overall)
2012-06-28,76ers,. Tornike Shengelia,,2012 NBA draft second round pick (#54 overall)
2012-06-28,76ers,. cash considerations,. rights to Tornike Shengelia,trade with Nets
2012-06-28,76ers,. rights to Arnett Moultrie,". rights to Justin Hamilton (b). first round pick (protected top 14 in 2013-15, else 2015 second round pick, 2016 second round pick) (2015 #33-Jordan Mickey) (2016 #31-Deyonta Davis)",trade with Heat
2012-06-30,76ers,,. Jodie Meeks,"team declined to tender qualifying offer, making player an unrestricted free agent"
2012-07-01,76ers,,. Craig Brackins,player became an unrestricted free agent
2012-07-01,76ers,,. Sam Young,player became an unrestricted free agent
2012-07-01,76ers,,. Spencer Hawes,player became an unrestricted free agent
2012-07-01,76ers,,. Tony Battie,player became an unrestricted free agent
2012-07-01,76ers,,. Xavier Silas,player became an unrestricted free agent
2012-07-06,76ers,,. Elton Brand,waived (using amnesty provision)
2012-07-06,76ers,. Nick Young,,"signed unrestricted free agent to a 1-year, $6M contract"
2012-07-11,76ers,. Dorell Wright. Darryl Watkins,. rights to Edin Bavcic,"3-team trade with Hornets, Warriors"
2012-07-11,76ers,. Lavoy Allen,,"re-signed restricted free agent to a 2-year, $6M contract"
2012-07-12,76ers,. Kwame Brown,,"signed unrestricted free agent to a 2-year, $6M contract (second year is player option) (date 07-20 per NBA E R)"
2012-07-12,76ers,. Spencer Hawes,,"re-signed unrestricted free agent to a 2-year, $13M contract"
2012-07-15,76ers,,. Darryl Watkins,waived
2012-07-24,76ers,. Arnett Moultrie,,"signed first round pick to a 2-year, $2.1M contract with a 2-year, $3.4M team option"
2012-07-24,76ers,. Maurice Harkless / Moe Harkless,,"signed first round pick to a 2-year, $3.6M contract with a 2-year, $5M team option"
2012-07-27,76ers,. Royal Ivey,,signed unrestricted free agent
2012-07-30,76ers,. Maalik Wayns,,signed free agent to a 1-year / multi-year contract
2012-08-10,76ers,. Andrew Bynum. Jason Richardson,". Andre Iguodala. Maurice Harkless / Moe Harkless. Nikola Vucevic. first round pick (from 76ers, two years after 76ers convey first round pick to Heat from earlier trade, protected top 14 in 2015-16, top 11 in 2017, top 8 in 2018, thereafter 2018 and 2019 second round picks) (#5-De'Aaron Fox)","4-team trade with Lakers, Magic, Nuggets"
2012-09-21,76ers,. Tony DiLeo,,promoted to GM
2012-09-27,76ers,. Damien Wilkins,,signed unrestricted free agent
2012-09-27,76ers,. Dan Gadzuric,,signed free agent
2012-09-27,76ers,. Devin Searcy,,signed free agent
2012-09-27,76ers,. Xavier Silas,,signed unrestricted free agent
2012-10-01,76ers,. Doug Collins,,team exercised contract option on head coach through 2013-14
2012-10-01,76ers,. Mikki Moore,,signed unrestricted free agent
2012-10-02,76ers,. Jordan Cohn,,hired as pro personnel scout
2012-10-10,76ers,,. Mikki Moore,waived
2012-10-10,76ers,,. Xavier Silas,waived
2012-10-18,76ers,,. Dan Gadzuric,waived
2012-10-25,76ers,. Evan Turner,,team exercised contract option through 2013-14
2012-10-27,76ers,,. Devin Searcy,waived
2012-10-31,76ers,. Jrue Holiday,,"re-signed to a 4-year, $41M contract extension"
2012-11-02,76ers,. Aaron Barzilai,,hired as director of basketball analytics
2013-01-06,76ers,,. Maalik Wayns,waived
2013-01-08,76ers,. Maalik Wayns,,signed free agent to a 10-day contract
2013-01-17,76ers,,. Maalik Wayns,waived
2013-01-17,76ers,. Shelvin Mack,,signed free agent to a 10-day contract
2013-01-28,76ers,. Shelvin Mack,,re-signed to a second 10-day contract
2013-02-07,76ers,,. Shelvin Mack,waived
2013-02-07,76ers,. Jeremy Pargo,,signed free agent to a 10-day contract
2013-02-16,76ers,,. Jeremy Pargo,waived
2013-02-18,76ers,. Jeremy Pargo,,signed free agent for the remainder of the season
2013-02-21,76ers,. Charles Jenkins. cash considerations,. second round pick (protected) (?-?),trade with Warriors
2013-04-01,76ers,,. Jeremy Pargo,waived
2013-04-01,76ers,. Justin Holiday,,signed free agent for the remainder of the season / multi-year contract (R)
2013-04-18,76ers,,. Doug Collins,resigned as head coach (remained as advisor)
2013-04-27,76ers,. Aaron Moszer,,hired as president of NBADL team
2013-05-11,76ers,,. Tony DiLeo,fired as GM
2013-05-14,76ers,. Sam Hinkie,,hired as president of basketball operations & GM
2013-06-27,76ers,. Michael Carter-Williams,,2013 NBA draft first round pick (#11 overall)
2013-06-27,76ers,. Glen Rice Jr.,,2013 NBA draft second round pick (#35 overall)
2013-06-27,76ers,. Pierre Jackson,,2013 NBA draft second round pick (#42 overall)
2013-06-27,76ers,. rights to Nate Wolters. rights to Arsalan Kazemi,. rights to Glen Rice Jr.,trade with Wizards
2013-06-27,76ers,. rights to Ricky Ledo. 2014 second round pick (#54-Nemanja Dangubic),. rights to Nate Wolters,trade with Bucks
2013-06-27,76ers,. 2014 second round pick (#47-Russ Smith),. rights to Ricky Ledo,trade with Mavericks
2013-06-28,76ers,. Kwame Brown,,player exercised contract option through 2013-14
2013-06-30,76ers,,. Charles Jenkins,"team declined to tender qualifying offer, making player an unrestricted free agent"
2013-07-01,76ers,,. Andrew Bynum,player became an unrestricted free agent
2013-07-01,76ers,,. Charles Jenkins,player became an unrestricted free agent
2013-07-01,76ers,,. Damien Wilkins,player became an unrestricted free agent
2013-07-01,76ers,,. Dorell Wright,player became an unrestricted free agent
2013-07-01,76ers,,. Nick Young,player became an unrestricted free agent
2013-07-01,76ers,,. Royal Ivey,player became an unrestricted free agent
2013-07-08,76ers,,. Adam Aron,resigned as CEO
2013-07-08,76ers,. Scott O'Neil,,hired as CEO
2013-07-10,76ers,,. Rod Thorn,resigned as president (date approximate)
2001-08-06,76ers,. Alvin Jones,,"signed second round pick to a 2-year, minimum contract (second year is team option)"
2001-08-06,76ers,. Damone Brown,,"signed second round pick to a 2-year, minimum contract (second year is team option)"
2001-08-06,76ers,. Samuel Dalembert,,"signed first round pick to a 3-year, $2.5M contract with a fourth year, $1.6M team option"
2001-09-10,76ers,. Mike Woodson,,hired as assistant coach
2001-09-24,76ers,,. Rodney Buford,lost free agent (to Heat)
2001-09-24,76ers,,. Kevin Ollie,lost free agent (to Bulls)
2001-09-27,76ers,. Corey Benjamin,,signed free agent to a non-guaranteed minimum contract
2001-09-27,76ers,. Ira Bowman,,signed free agent to a non-guaranteed minimum contract
2001-09-27,76ers,. Joe Brown,,signed free agent to a non-guaranteed minimum contract
2001-10-01,76ers,. Quincy Wadley,,signed free agent to a minimum contract
2001-10-02,76ers,. Michael Smith (John) (Providence),,signed free agent to a minimum contract
2001-10-09,76ers,,. Quincy Wadley,waived
2001-10-10,76ers,,. Joe Brown,waived
2001-10-25,76ers,,. Corey Benjamin,waived
2001-10-25,76ers,,. Michael Smith (John) (Providence),waived
2001-10-25,76ers,. Derrick Coleman. Corie Blount. Vonteego Cummings,". George Lynch. Jerome Moiso. Robert Traylor / Tractor Traylor. Cedric Henderson (E.). first round pick (protected top 8 in 2005, top 5 in 2006) (#16-Joey Graham)","3-team trade with Hornets, Warriors"
2001-10-31,76ers,,. Vonteego Cummings,"team declined to exercise contract option, making player a free agent after 2001-02"
2001-11-05,76ers,,. Ira Bowman,waived
2001-11-05,76ers,. Tim James,,signed free agent to a minimum contract
2001-11-21,76ers,,. Matt Geiger,waived
2001-11-21,76ers,,. Matt Geiger,retired
2001-11-23,76ers,. Michael Ruffin,,signed free agent to a minimum contract
2001-11-28,76ers,. $4M injury exception,,awarded by NBA following retirement of Matt Geiger
2001-12-03,76ers,,. Tim James,waived
2001-12-28,76ers,,. Michael Ruffin,waived
2013-07-12,76ers,". rights to Nerlens Noel. first round pick (protected top 5 in 2014-19, else 2019 second round pick, 2020 second round pick) (2014 #10-Elfrid Payton)",. Jrue Holiday. rights to Pierre Jackson,trade with Pelicans
2013-07-13,76ers,. rights to Royce White. rights to Furkan Aldemir. additional considerations (?),". 2014 second round pick (protected top 55 in 2014, else extinguished) (not exercised)",trade with Rockets
2013-07-16,76ers,. James Anderson,,claimed off waivers (from Rockets)
2013-07-16,76ers,. Tim Ohlbrecht,,claimed off waivers (from Rockets)
2013-07-23,76ers,. Nerlens Noel,,"signed first round pick to a 2-year, $6.4M contract with a 2-year, $7.5M team option"
2013-07-29,76ers,. Chris Heck,,hired as chief revenue officer
2013-08-13,76ers,,. Justin Holiday,waived
2013-08-14,76ers,. Brett Brown,,hired as head coach
2013-08-15,76ers,,. Aaron McKie,fired as assistant coach
2013-08-15,76ers,,. Jeff Capel,fired as assistant coach
2013-08-15,76ers,,. Michael Curry,fired as associate head coach
2013-08-22,76ers,. Tony Wroten Jr.,". 2014 second round pick (protected top 50 and 56-60, else extinguished) (not exercised). trade exception",trade with Grizzlies
2013-09-12,76ers,. Darius Morris,,signed unrestricted free agent
2013-09-13,76ers,. Brandon Williams (D.),,hired as NBADL GM
2013-09-13,76ers,. Khalif Wyatt,,signed free agent
2013-09-19,76ers,. Vander Blue,,signed free agent
2013-09-24,76ers,. Michael Carter-Williams,,"signed first round pick to a 2-year, $4.4M contract with a 2-year, $5.7M team option"
2013-09-24,76ers,. Nerlens Noel,,signed first round pick (CBC E)
2013-09-27,76ers,. Hollis Thompson,,signed free agent
2013-09-27,76ers,. Rodney Williams,,signed free agent
2013-09-28,76ers,. Solomon Alabi,,signed free agent to a multi-year contract
